number,param_gamma,param_theta,param_m0,param_beta_prime,CQ,MC,narma10_nrmse,ti46_accuracy
317,0.046101708,0.2,0.032984274,50,6,5.908271287,0.760208614,0.982389937
382,0.046242766,0.2,0.035219744,50,7,5.825538096,0.729095194,0.979874214
320,0.046997702,0.2,0.04128898,50,8,5.732383768,0.646380728,0.974842767
267,0.048029791,0.2,0.051655408,50,9,5.700812722,0.636642333,0.978616352
352,0.049340288,0.2,0.051812501,50,10,5.550008943,0.645622708,0.976100629
364,0.053387875,0.2,0.056115514,50,11,5.342118486,0.803202338,0.976100629
367,0.057843024,0.2,0.060112674,50,12,5.079089211,1.146995655,0.973584906
65,0.057933459,0.2,0.071895598,50,13,4.88480742,1.18256385,0.977358491
393,0.05940276,0.2,0.07581633,50,14,4.776775175,1.22473464,0.982389937
250,0.061587188,0.2,0.079188025,50,15,4.611972969,1.235458826,0.978616352
247,0.064236515,0.2,0.083334984,50,16,4.396805164,1.19713038,0.979874214
74,0.067408769,0.2,0.084836375,50,17,4.179973291,1.349752542,0.978616352
211,0.066659289,0.2,0.098057678,50,18,4.016489584,1.347683483,0.974842767
204,0.06809311,0.2,0.101105197,50,19,3.893994628,1.578632392,0.977358491
119,0.069413021,0.2,0.104819746,50,20,3.770173271,1.564824123,0.974842767
93,0.068443878,0.2,0.11155997,50,21,3.691558855,1.502135216,0.969811321
252,0.071940468,0.2,0.110137349,50,22,3.604744826,2.176834566,0.977358491
105,0.072981396,0.2,0.111769295,50,23,3.539115468,2.742409965,0.976100629
78,0.073688187,0.2,0.115398649,50,24,3.345050158,2.867690302,0.972327044
34,0.077617268,0.2,0.116394702,50,25,3.160563294,1.149745933,0.964779874
157,0.079040297,0.2,0.129972648,50,26,2.857775059,1.923619072,0.974842767
75,0.080369354,0.2,0.125287747,50,27,2.707922836,1.712241924,0.963522013
120,0.081802305,0.2,0.151334304,50,28,2.621531324,6.854827117,0.959748428
310,0.083440283,0.2,0.152721316,50,30,2.54852107,4.056962448,0.973584906
106,0.088117492,0.2,0.16506307,50,31,2.228256907,1.489511527,0.954716981
202,0.089941989,0.2,0.171296692,50,32,2.169264011,2.183824658,0.958490566
90,0.091127747,0.2,0.172921647,50,33,2.134243613,5.083775805,0.961006289
33,0.094318864,0.2,0.173894996,50,34,2.013169356,2.285130266,0.962264151
311,0.097561888,0.2,0.187335709,50,35,1.948912163,2.950028362,0.967295597
341,0.099469092,0.2,0.187428653,50,36,1.87370273,2.353067547,0.953459119
351,0.101375615,0.2,0.188084985,50,37,1.78344851,1.356967097,0.953459119
60,0.102452961,0.2,0.186850472,50,38,1.709309787,1.336795255,0.952201258
291,0.115236493,0.2,0.143717896,50,40,1.525634731,0.988565215,0.797484277
294,0.11606965,0.2,0.145930631,50,41,1.487234588,0.988866936,0.830188679
336,0.117705341,0.2,0.146820695,50,42,1.423419677,1.015733892,0.836477987
295,0.118175341,0.2,0.150063692,50,43,1.308094274,0.991028404,0.823899371
168,0.116670579,0.2,0.18446406,50,44,1.217915395,0.966665239,0.88427673
329,0.121017065,0.2,0.168284133,50,45,1.100241952,0.997504871,0.772327044
337,0.12343724,0.2,0.170243481,50,46,0.961156407,1.097097562,0.8
174,0.123491185,0.2,0.185340724,50,47,0.888820927,0.999955875,0.817610063
176,0.126222632,0.2,0.185960205,50,48,0.790958539,0.980617121,0.796226415
139,0.12767027,0.2,0.186061777,50,49,0.740802068,0.975205929,0.781132075
87,0.133713462,0.2,0.184929784,50,50,0.674080776,1.077445772,0.642767296
71,0.145134106,0.2,0.18256341,50,53,0.659625503,0.9859657,0.426415094
144,0.145930078,0.2,0.183825804,50,54,0.647546868,0.982780824,0.48427673
376,0.148664306,0.2,0.185185419,50,55,0.553709871,0.977951725,0.493081761
127,0.151737978,0.2,0.18557961,50,56,0.541761572,0.974905506,0.383647799
