number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,param_n_instances,param_beta_range_delta,param_weight_0,param_weight_1,param_weight_2,param_weight_3,param_weight_4,param_weight_5,param_weight_6,param_weight_7,param_weight_8,param_weight_9,attr_CQ,attr_GR,attr_KR,attr_MC,attr_morph_type,attr_weights
0,COMPLETE,[2.0],2025-09-16T15:02:05.737957,2025-09-16T15:15:46.026922,820.288965,0.04839017577883868,0.2,0.04705122057363641,50.0,10,0.6466385375004848,0.1782364119582592,0.23920528617958148,0.48590035098857437,0.3999020329964457,0.384442992772679,0.4266231130510813,0.567370427307915,0.5435753981188775,0.6626031945580303,0.7849867929651778,30.0,9.0,39.0,5.666252120575576,random,"[0.038143010046566776, 0.05119049207563934, 0.10398381433827271, 0.08557997265899901, 0.08227170180633225, 0.09129834644009695, 0.12141860168279642, 0.11632640964726351, 0.14179863715407925, 0.16798901414995385]"
1,COMPLETE,[2.0],2025-09-16T15:15:46.044728,2025-09-16T15:27:55.281808,729.23708,0.04623534969521631,0.2,0.037750315433762,50.0,8,2.0836132788730075,0.39215473338949663,0.578309768869001,0.8679336451688416,0.08425769543200815,0.6492905208076198,0.9842596773041189,0.8108594646234641,0.7120583196395515,,,25.0,6.0,31.0,5.683578867784609,random,"[0.07720913033094283, 0.11386014375074743, 0.17088255278533945, 0.016589021715398843, 0.12783514305790594, 0.19378532817296562, 0.15964553976710558, 0.14019314041959433]"
2,COMPLETE,[2.0],2025-09-16T15:27:55.297822,2025-09-16T15:39:08.557676,673.259854,0.050261719957575765,0.2,0.04790990566911823,50.0,7,2.1360260282379837,0.1849118019448048,0.6121631427665681,0.22997541631777602,0.6201973450495706,0.366513892518133,0.5557034709548705,0.3138560692005651,,,,32.0,8.0,40.0,5.427657995036004,random,"[0.0641315320238045, 0.21231181450411457, 0.07976059732884776, 0.21509825482636016, 0.127115182416599, 0.1927303426198798, 0.10885227628039428]"
3,COMPLETE,[2.0],2025-09-16T15:39:08.574041,2025-09-16T15:49:24.487963,615.913922,0.04787326978797617,0.2,0.04005307339901211,50.0,5,1.6783024085444163,0.972408514235473,0.4203317715248758,0.9030073162056039,0.022298963125623683,0.2444993502158951,,,,,,30.0,7.0,37.0,5.518513695227671,random,"[0.3794696939581654, 0.1640289717401772, 0.3523867848811813, 0.008701878468760277, 0.09541267095171578]"
4,COMPLETE,[2.0],2025-09-16T15:49:24.503903,2025-09-16T16:03:16.034860,831.530957,0.04870895085209828,0.2,0.034369530244805505,50.0,10,0.25341500645103054,0.9313047198575675,0.629853226906318,0.35225114480314673,0.21220272399459494,0.2041468157350371,0.3406669117889947,0.9681199251342838,0.7961509810454284,0.47375361147889483,0.7736261187791639,27.0,9.0,36.0,5.86271625889476,random,"[0.16390218829056222, 0.11084913454277999, 0.06199338651469663, 0.03734598363170712, 0.035928208155801146, 0.05995465407814496, 0.17038137021518823, 0.14011621032370664, 0.08337684967796925, 0.13615201456944387]"
5,COMPLETE,[2.0],2025-09-16T16:03:16.051005,2025-09-16T16:13:01.531263,585.480258,0.04826424318885438,0.2,0.03954589465873747,50.0,4,2.793755572144245,0.33518945483130264,0.913916682874284,0.5731728280774903,0.225486028594451,,,,,,,25.0,8.0,33.0,5.654391067546083,random,"[0.16368550871394905, 0.44629959266985764, 0.27990166335064304, 0.1101132352655503]"
6,COMPLETE,[2.0],2025-09-16T16:13:01.546744,2025-09-16T16:21:58.427137,536.880393,0.04607813386498848,0.2,0.04326745475502097,50.0,3,0.19046981888978232,0.9952564831693441,0.1792946988573281,0.09342161837425383,,,,,,,,45.0,9.0,54.0,5.715735897122553,random,"[0.7849194263904158, 0.1414026379750702, 0.07367793563451396]"
7,COMPLETE,[2.0],2025-09-16T16:21:58.443097,2025-09-16T16:35:00.641340,782.198243,0.045056093884260434,0.2,0.0504549938332115,50.0,9,1.2173027258348357,0.04038210544649057,0.7457695681088756,0.44911723266466125,0.848927426721545,0.1408969996205831,0.5141951790246967,0.34871483529532105,0.29398221936582,0.08465700519923669,,30.0,6.0,36.0,5.517093126720729,random,"[0.011648765228666804, 0.21512733220648617, 0.12955394835446415, 0.24488461363559055, 0.04064364777063313, 0.14832656336128536, 0.10059151703942239, 0.08480315270665194, 0.024420459696799568]"
8,COMPLETE,[2.0],2025-09-16T16:35:00.657354,2025-09-16T16:45:22.863785,622.206431,0.04639932354108694,0.2,0.044298086484169996,50.0,5,1.2555640299366226,0.22511807770640999,0.062327414751355004,0.14329945374398267,0.5895214300958073,0.941759431092418,,,,,,36.0,8.0,44.0,5.752187147625741,random,"[0.11473757218610603, 0.03176686795688349, 0.07303647750414143, 0.30046568596364737, 0.47999339638922167]"
9,COMPLETE,[2.0],2025-09-16T16:45:22.879733,2025-09-16T16:58:24.814382,781.934649,0.04970203200310283,0.2,0.05235759335761904,50.0,9,2.3679525279636273,0.18359161040593738,0.33124946969520236,0.1728652872104957,0.6032355300117037,0.1506075320180471,0.6829686060826122,0.01650762013375372,0.8217303950797302,0.6322812609110946,,31.0,7.0,38.0,5.303543058569119,random,"[0.051068068143875406, 0.09214075988338359, 0.04808442089187477, 0.167796736927845, 0.04189317633345293, 0.18997538742884998, 0.0045917799185908855, 0.2285735373149066, 0.17587613315722078]"
10,COMPLETE,[2.0],2025-09-16T16:58:24.831081,2025-09-16T17:08:44.421550,619.590469,0.04527444368252872,0.2,0.049019844315908605,50.0,5,0.2134842741737829,0.8957471580222622,0.4023239537661544,0.03459723681248682,0.813656453751584,0.8718223719969235,,,,,,38.0,7.0,45.0,5.621719496940933,random,"[0.2967871035697087, 0.13330163525006994, 0.01146307148522158, 0.269588064050248, 0.28886012564475183]"
11,COMPLETE,[2.0],2025-09-16T17:08:44.438101,2025-09-16T17:19:58.340507,673.902406,0.048221068013662716,0.2,0.04878487220667445,50.0,7,2.0976125885205663,0.8319347407959091,0.9665767333248579,0.6629022586427247,0.830864844356841,0.7198117712024064,0.23051724862476802,0.8660842436890013,,,,32.0,6.0,38.0,5.418072353747252,random,"[0.1628469218241701, 0.18920239534440758, 0.12975968786563793, 0.16263749513091025, 0.1408994305502527, 0.045122558928128095, 0.16953151035649336]"
12,COMPLETE,[2.0],2025-09-16T17:19:58.356521,2025-09-16T17:29:00.749220,542.392699,0.05176128945906094,0.2,0.031552323607031744,50.0,3,1.3675179147667074,0.9775250857161775,0.9461020372546806,0.7264209119346301,,,,,,,,24.0,12.0,36.0,5.628883830331836,random,"[0.36887070454594234, 0.3570131653437831, 0.2741161301102745]"
13,COMPLETE,[2.0],2025-09-16T17:29:00.765233,2025-09-16T17:41:15.737772,734.972539,0.05174751072304676,0.2,0.05100088339843243,50.0,8,1.2217216903074166,0.3041578641873696,0.41095442892178485,0.8043497010935273,0.5699683019117585,0.910240465949253,0.09825724422005438,0.7543694826732001,0.25477164664213225,,,36.0,9.0,45.0,5.3626643673713925,random,"[0.07405715709799061, 0.10006026569159292, 0.19584518169456144, 0.13877738189781402, 0.2216277437502839, 0.023923932365390296, 0.18367586660144292, 0.06203247090092381]"
14,COMPLETE,[2.0],2025-09-16T17:41:15.753265,2025-09-16T17:52:32.421789,676.668524,0.05283260416244194,0.2,0.03145832080610124,50.0,7,1.4952807661030638,0.5606519087982877,0.7962743451445621,0.27230440689756896,0.6393595278282483,0.1695805516087959,0.017364847413759765,0.0696692129253394,,,,23.0,12.0,35.0,5.689843008145676,random,"[0.2220223518747458, 0.31533060009633324, 0.10783458309246134, 0.25319115806850206, 0.06715516759963015, 0.006876609536588837, 0.027589529731738484]"
15,COMPLETE,[0.5354153711814928],2025-09-16T17:52:32.437383,2025-09-16T18:02:49.843340,617.405957,0.046655664772004446,0.2,0.04625338491152353,50.0,5,2.8380072154558063,0.04142898520041802,0.13826183546705104,0.134676590805263,0.3412849823110797,0.7425825785007134,,,,,,33.0,7.0,40.0,5.820787096795751,random,"[0.029629487190360224, 0.09888311922362382, 0.09631899750384575, 0.24408271075745344, 0.5310856853247168]"
16,COMPLETE,[0.47371861833970635],2025-09-16T18:02:49.859356,2025-09-16T18:15:50.136517,780.277161,0.05183846173979696,0.2,0.04128419811545565,50.0,9,2.3991473603782443,0.01903148582736753,0.27492297378907726,0.9033011306423784,0.26023099263575156,0.22775557878172437,0.15605727274343764,0.2149201471155166,0.13819169376328627,0.6026801781055556,,28.0,9.0,37.0,5.386219690214478,random,"[0.006804027020355725, 0.09828887555839212, 0.3229430090828992, 0.09303628321449668, 0.08142586060407249, 0.055792695856802965, 0.07683701112237717, 0.049405497126347175, 0.2154667404142565]"
17,COMPLETE,[0.5733064994619969],2025-09-16T18:15:50.154534,2025-09-16T18:26:33.771713,643.617179,0.04807577051654631,0.2,0.052564659093686295,50.0,6,2.520176463425793,0.7038365593568155,0.2827711995707249,0.6740320453198392,0.5479331676718038,0.1771868952900463,0.6692784263811505,,,,,33.0,7.0,40.0,5.230792632083427,random,"[0.23038551131535703, 0.09255897059097187, 0.22062965519417266, 0.17935394421123768, 0.05799825673602622, 0.21907366195223457]"
18,COMPLETE,[0.7951253412629901],2025-09-16T18:26:33.786728,2025-09-16T18:36:21.628861,587.842133,0.046362275471107814,0.2,0.051233370565985634,50.0,4,0.05136221665988705,0.028931832056469854,0.16224647083674287,0.16881513774493906,0.8519414839618221,,,,,,,59.0,7.0,66.0,5.587936794950176,random,"[0.023872430333682682, 0.13387391314784985, 0.1392938963291781, 0.7029597601892893]"
19,COMPLETE,[0.24974881318367034],2025-09-16T18:36:21.643874,2025-09-16T18:48:36.280175,734.636301,0.05095381572527106,0.2,0.04268236286598786,50.0,8,2.106018234669224,0.09657570790129517,0.12393104886461982,0.7671152711720327,0.3815854315433766,0.8590338003917025,0.15421162692902574,0.8933340840847979,0.48283194722909684,,,29.0,9.0,38.0,5.565293061052893,random,"[0.02569446650625196, 0.0329724964314131, 0.20409498485591576, 0.10152277734361292, 0.22855038489039042, 0.041028800814509325, 0.23767615274298473, 0.12845993641492182]"
20,COMPLETE,[0.31384797376792467],2025-09-16T18:48:36.295190,2025-09-16T18:59:50.261880,673.96669,0.050368416828830836,0.2,0.03016895200191733,50.0,7,2.495307098013498,0.34516616267746825,0.918296798128354,0.38871763334622234,0.8081058129819678,0.513466450137001,0.8641031373051026,0.10720268284343136,,,,22.0,8.0,30.0,5.50492467601271,random,"[0.08749328993586493, 0.23277139155988666, 0.0985327887696924, 0.20483999835220393, 0.13015432522612264, 0.21903429275995212, 0.027173913396277383]"
