number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,param_n_instances,param_beta_range_delta,param_weight_0,param_weight_1,param_weight_2,param_weight_3,param_weight_4,param_weight_5,param_weight_6,param_weight_7,param_weight_8,param_weight_9,attr_CQ,attr_GR,attr_KR,attr_MC,attr_morph_type,attr_weights
0,COMPLETE,[2.0],2025-09-16T15:00:00.205447,2025-09-16T15:10:33.651682,633.446235,0.04616580272118576,0.2,0.05362757400192121,50.0,6,2.019108455381767,0.2623637653189487,0.22533484926184313,0.16617431945780423,0.6520791287036972,0.46929076226435146,0.924818406502332,,,,,26.0,6.0,32.0,5.313139763401111,gradient,"[0.09716956128892015, 0.08345545894746646, 0.061544648513372706, 0.24150531147001852, 0.17380745176733642, 0.3425175680128858]"
1,COMPLETE,[2.0],2025-09-16T15:10:33.670699,2025-09-16T15:20:34.797530,601.126831,0.04631315163808475,0.2,0.03917148825159143,50.0,5,1.795080829691884,0.9184432217743314,0.7648836648090823,0.1563466634960522,0.8189275017322889,0.22406369567103745,,,,,,26.0,6.0,32.0,5.372256486226329,gradient,"[0.3186091003389612, 0.2653390983037469, 0.05423685277054074, 0.284086972807849, 0.07772797577890211]"
2,COMPLETE,[2.0],2025-09-16T15:20:34.812544,2025-09-16T15:31:38.174132,663.361588,0.04536542868717974,0.2,0.052514195247152215,50.0,7,2.2222278831806173,0.6857197793298904,0.6111595364307645,0.4992538101375433,0.06766306895921272,0.795943340581652,0.7607151890258558,0.8287487198462415,,,,29.0,5.0,34.0,5.146838591352082,gradient,"[0.16137607632035908, 0.14382920103507538, 0.11749350594308329, 0.015923706606658275, 0.18731589367585166, 0.17902536298757415, 0.19503625343139822]"
3,COMPLETE,[2.0],2025-09-16T15:31:38.190145,2025-09-16T15:44:29.973789,771.783644,0.05277195478511786,0.2,0.04258929352028448,50.0,9,0.7427983556021379,0.5641454670517879,0.2223004115208473,0.03445223325346315,0.8210492448938039,0.6777341824354879,0.3103043763496203,0.9470807300378633,0.8072180243608943,0.5822486498139668,,31.0,11.0,42.0,5.603067838501449,gradient,"[0.11358938533887662, 0.04475967384297774, 0.006936877503002676, 0.16531636697858032, 0.13646021053453958, 0.06247906867304697, 0.19069251509455074, 0.16253148270568157, 0.11723441932874377]"
4,COMPLETE,[2.0],2025-09-16T15:44:29.988803,2025-09-16T15:54:32.584482,602.595679,0.04887844329328467,0.2,0.05486037042621129,50.0,5,1.4670561856964195,0.19416245999641837,0.356820649909394,0.6212699276534186,0.2650299689475731,0.10830187823264863,,,,,,35.0,7.0,42.0,5.190221161704987,gradient,"[0.12562393816962655, 0.2308644794812063, 0.40196428794536854, 0.17147551814486758, 0.07007177625893103]"
5,COMPLETE,[2.0],2025-09-16T15:54:32.600497,2025-09-16T16:06:46.404046,733.803549,0.05054122447875592,0.2,0.054155653523390954,50.0,8,2.654201296392272,0.4459413025290684,0.02802397533465823,0.44834838134480964,0.4162898126867969,0.3355948952849905,0.29683210933557136,0.672068542217606,0.052783413696831066,,,31.0,7.0,38.0,4.974338716285014,gradient,"[0.1654157084762236, 0.010395102916040252, 0.16630858080136104, 0.15441690174579034, 0.12448424725348739, 0.11010573226962937, 0.24929445517835053, 0.019579271359117443]"
6,COMPLETE,[2.0],2025-09-16T16:06:46.421061,2025-09-16T16:19:40.936925,774.515864,0.05220287129812093,0.2,0.03899355063859909,50.0,9,1.9704738706626568,0.014057903265340364,0.7451218815429038,0.9312103932133191,0.5829775418671019,0.969558416206916,0.16942880450549277,0.6688686965234094,0.10757985990373238,0.03559223980291016,,30.0,9.0,39.0,5.29953523117852,gradient,"[0.0033277903257912366, 0.17638543544735394, 0.22043635379479246, 0.13800258739594665, 0.22951410724938787, 0.04010722836127742, 0.15833476269558786, 0.025466330951378142, 0.008425403778484351]"
7,COMPLETE,[2.0],2025-09-16T16:19:40.953940,2025-09-16T16:30:09.670299,628.716359,0.05236351724628612,0.2,0.043543217550419906,50.0,6,1.6596533423954107,0.4343325871422716,0.16311011760070884,0.12252760846087868,0.9573860911279903,0.33264880175494227,0.17756244721496633,,,,,30.0,10.0,40.0,5.420948510041427,gradient,"[0.19854589936303046, 0.07456231918337342, 0.0560108887494036, 0.4376486778285372, 0.15206332076307033, 0.08116889411258495]"
8,COMPLETE,[2.0],2025-09-16T16:30:09.684310,2025-09-16T16:41:10.255861,660.571551,0.04586615454041778,0.2,0.036699621679140454,50.0,7,0.7122385588114836,0.9965770875686683,0.11664717496876696,0.21069681428338805,0.022278676729954334,0.12292833523007544,0.03303816953458282,0.7130504373060665,,,,26.0,6.0,32.0,5.590575362685147,gradient,"[0.4498779236985969, 0.052657229967310426, 0.0951134102139271, 0.010057109434932196, 0.05549269083835006, 0.014914193089951235, 0.32188744275693204]"
9,COMPLETE,[2.0],2025-09-16T16:41:10.271875,2025-09-16T16:54:59.848487,829.576612,0.05163652370029667,0.2,0.03703179686894504,50.0,10,0.6625988333865844,0.6879221804136137,0.8780670689070461,0.6191469482753806,0.1849551340869939,0.15388209487464824,0.23965776463708482,0.7817301962478613,0.2504468976759791,0.7813631173501806,0.5280143133958923,28.0,9.0,37.0,5.684809549463155,gradient,"[0.13474968761192233, 0.17199512765586536, 0.12127804603686466, 0.036228874791417356, 0.03014231086568508, 0.046943985581628, 0.1531247323321826, 0.049057352976934775, 0.15305282918935667, 0.10342705295814315]"
